title,rating,year,genre,poster_url,description
"Apollo 13",7.3,1995,Drama,https://image.tmdb.org/t/p/w500/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
"Raiders of the Lost Ark",7.7,1981,Drama,https://image.tmdb.org/t/p/w500/44sKJOGP3fTm4QXBcIuqu0RkdP7.jpg,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
"Sully",7.0,2016,Drama,https://image.tmdb.org/t/p/w500/h6O5OE3ueRVdCc7V7cwTiQocI7D.jpg,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career."
"Minions",6.4,2015,Family,https://image.tmdb.org/t/p/w500//q0R4crx2SehcEEQEkYObktdeFy.jpg,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world."
"Star Wars: The Last Jedi",7.2,2017,Action,https://image.tmdb.org/t/p/w500//kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."
"The Greatest Showman",8,2017,Drama,https://image.tmdb.org/t/p/w500//dfhztJRiElqmYW4kpvjYe1gENsD.jpg,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus."
"The Maze Runner",7,2014,Action,https://image.tmdb.org/t/p/w500//coss7RgL0NH6g4fC2s5atvf3dFO.jpg,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."
"Guardians of the Galaxy",7.9,2014,Action,https://image.tmdb.org/t/p/w500//y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser."
"Blade Runner",7.9,1982,Science Fiction,https://image.tmdb.org/t/p/w500//p64TtbZGCElxQHpAMWmDHkWJlH2.jpg,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
"John Wick",7,2014,Action,https://image.tmdb.org/t/p/w500//5vHssUeVe25bMrof1HyaPyWgaP.jpg,"Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him."
